Task: 1, Test Name: Profile icon is displayed, DOM Id: A__accesslink__56, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Grid view icon is not displayed, DOM Id: I__tiviewgrid__203, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: List view icon is not displayed, DOM Id: I__tiviewlist__205, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Search field is displayed, DOM Id: INPUTtext____42, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Filters icon is displayed, DOM Id: A__openfilter__207, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product name is correct, DOM Id: shoe_name, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product old price is correct, DOM Id: old_price, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product new price is correct, DOM Id: new_price, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 3, Test Name: Product discount is correct, DOM Id: discount, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product description is correct, DOM Id: P____83, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Size dropdown's selected value is correct, DOM Id: .nice-select span, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 2, Test Name: Filter results' count is 2, DOM Id: grid_item, Browser: Chrome, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Profile icon is displayed, DOM Id: A__accesslink__56, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Cart icon is displayed, DOM Id: A__cartbt__49, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Wishlist icon is not displayed, DOM Id: A__wishlist__52, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Grid view icon is not displayed, DOM Id: I__tiviewgrid__203, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: List view icon is not displayed, DOM Id: I__tiviewlist__205, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Search field is displayed, DOM Id: INPUTtext____42, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 1, Test Name: Filters icon is displayed, DOM Id: A__openfilter__207, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product name is correct, DOM Id: shoe_name, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product old price is correct, DOM Id: old_price, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product new price is correct, DOM Id: new_price, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 3, Test Name: Product discount is correct, DOM Id: discount, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Product description is correct, DOM Id: P____83, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Pass
Task: 3, Test Name: Size dropdown's selected value is correct, DOM Id: .nice-select span, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 2, Test Name: Filter results' count is 2, DOM Id: grid_item, Browser: Firefox, Viewport: 768 x 700, Device: Tablet, Status: Fail
Task: 1, Test Name: Profile icon is displayed, DOM Id: A__accesslink__56, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Pass
Task: 1, Test Name: Cart icon is displayed, DOM Id: A__cartbt__49, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Pass
Task: 1, Test Name: Wishlist icon is not displayed, DOM Id: A__wishlist__52, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Fail
Task: 1, Test Name: Grid view icon is not displayed, DOM Id: I__tiviewgrid__203, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Fail
Task: 1, Test Name: List view icon is not displayed, DOM Id: I__tiviewlist__205, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Fail
Task: 1, Test Name: Search field is not displayed, DOM Id: INPUTtext____42, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Fail
Task: 1, Test Name: Filters icon is displayed, DOM Id: A__openfilter__207, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Pass
Task: 3, Test Name: Product name is correct, DOM Id: shoe_name, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Pass
Task: 3, Test Name: Product old price is correct, DOM Id: old_price, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Pass
Task: 3, Test Name: Product new price is correct, DOM Id: new_price, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Fail
Task: 3, Test Name: Product discount is correct, DOM Id: discount, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Pass
Task: 3, Test Name: Product description is correct, DOM Id: P____83, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Pass
Task: 3, Test Name: Size dropdown's selected value is correct, DOM Id: .nice-select span, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Fail
Task: 2, Test Name: Filter results' count is 2, DOM Id: grid_item, Browser: Chrome, Viewport: 500 x 700, Device: Mobile, Status: Fail
